Player,Country,Batting_Style,Bowling_Style
Greg Thomas,Wales,Right-hand bat,Right-arm fast
Greg Thompson,Ireland,Right-hand bat,Leg-break
Gregor MacGregor,Scotland,Right-hand bat,
Gregor Maiden,Scotland,Right-hand bat,Off-break
Gregory Strydom,South Africa,Right-hand bat,Right-arm medium
Greig Williamson,Scotland,Right-hand bat,Right-arm medium
Greville Stevens,England,Right-hand bat,Leg-break
Gubby Allen,Australia,Right-hand bat,Right-arm fast
Gul Mohammad,India,Left-hand bat,Left-arm medium
Gulabrai Ramchand,India,Right-hand bat,Right-arm medium-fast
Gulam Bodi,India,Left-hand bat,Chinaman
Gulbadin Naib,Pakistan,Right-hand bat,Right-arm medium-fast
Gundappa Viswanath,India,Right-hand bat,Leg-break
Gundibail Sunderam,India,Right-hand bat,Right-arm fast-medium
Gurdeep Singh,Kenya,Left-hand bat,Leg-break
Gursharan Singh,India,Right-hand bat,
Gus Kempis,South Africa,Right-hand bat,Left-arm medium
Gus Logie,Trinidad and Tobago,Right-hand bat,Off-break
Guy de Alwis,Sri Lanka,Right-hand bat,
Guy Overton,New Zealand,Left-hand bat,Right-arm fast
Guy Whittall,Zimbabwe,Right-hand bat,Right-arm medium
Gyanendra Malla,Nepal,Right-hand bat,
Gyanendra Pandey,India,Left-hand bat,Slow left-arm
Haafiz Shahid,Pakistan,Right-hand bat,Right-arm fast-medium
Habibul Bashar,Bangladesh,Right-hand bat,Off-break
Hamid Hassan,Afghanistan,Right-hand bat,Right-arm fast-medium
Hamilton Masakadza,Zimbabwe,Right-hand bat,"Leg-break googly, Right-arm medium"
Hamish Anthony,Antigua and barbuda,Right-hand bat,Right-arm fast-medium
Hamish Bennett,New Zealand,Left-hand bat,Right-arm medium-fast
Hamish Gardiner,Australia,Right-hand bat,
Hamish Marshall,New Zealand,Right-hand bat,Right-arm medium
Hamish Rutherford,New Zealand,Left-hand bat,Slow left-arm
Hammad Azam,Pakistan,Right-hand bat,Right-arm medium
Hammond Furlonge,Trinidad and Tobago,Right-hand bat,
Hammy Love,Australia,Right-hand bat,
Hamza Hotak,Afghanistan,Right-hand bat,Slow left-arm
Hamza Tariq,Pakistan,Right-hand bat,
Hanif Mohammad,India,Right-hand bat,Off-break
Haninder Dhillon,India,Right-hand bat,Right-arm medium
Hannan Sarkar,Bangladesh,Right-hand bat,Right-arm medium
Hans Ebeling,Australia,Right-hand bat,Right-arm fast-medium
Hansie Cronje,South Africa,Right-hand bat,Right-arm medium
Hanumant Singh,India,Right-hand bat,Leg-break
Harbhajan Singh,India,Right-hand bat,Off-break
Harilal Shah,Kenya,Right-hand bat,Right-arm medium
Haris Sohail,Pakistan,Left-hand bat,Left-arm medium
Harold Baumgartner,England,Right-hand bat,Slow left-arm
Harold Butler,England,Right-hand bat,Right-arm fast-medium
Harold Gilligan,England,Right-hand bat,Leg-break
Harold Gimblett,England,Right-hand bat,Right-arm medium
Harold Larwood,England,Right-hand bat,Right-arm fast
Harold Rhodes,England,Right-hand bat,Right-arm fast
Haroon Rasheed,Pakistan,Right-hand bat,Right-arm medium
Harry Alexander,Australia,Right-hand bat,Right-arm fast
Harry Boyle,Australia,Right-hand bat,Right-arm medium roundarm
Harry Bromfield,South Africa,Right-hand bat,Off-break
Harry Butt,England,Right-hand bat,
Harry Cave,New Zealand,Right-hand bat,Right-arm medium
Harry Dean,England,Left-hand bat,Left-arm fast-medium
Harry Donnan,Australia,Right-hand bat,Right-arm medium
Harry Elliott,England,Right-hand bat,
Harry Graham,Australia,Right-hand bat,Leg-break
Harry Gurney,England,Right-hand bat,Left-arm medium-fast
Harry Howell,England,Right-hand bat,Right-arm fast
Harry Lee,England,Right-hand bat,"Right-arm slow-medium, Off-break"
Harry Makepeace,England,Right-hand bat,Leg-break
Harry Moses,Australia,Left-hand bat,
Harry Musgrove,England,Right-hand bat,
Harry Smith,England,Right-hand bat,Right-arm slow
Harry Trott,Australia,Right-hand bat,Leg-break
Harry Wood,England,Right-hand bat,Right-arm fast roundarm
Harunur Rashid,Pakistan,Right-hand bat,Leg-break
Harvinder Singh,India,Right-hand bat,Right-arm fast-medium
Harvir Baidwan,India,Right-hand bat,Right-arm medium
Hasan Durham,Bermuda,Right-hand bat,Slow left-arm
Hasan Jamil,Pakistan,Left-hand bat,Left-arm medium-fast
Hasan Raza,Pakistan,Right-hand bat,Off-break
Hasantha Fernando,Sri Lanka,Right-hand bat,Right-arm medium-fast
Haseeb Ahsan,India,Right-hand bat,Off-break
Haseeb Amjad,Pakistan,Right-hand bat,Right-arm medium-fast
Hashan Tillakaratne,Sri Lanka,Left-hand bat,Off-break
Hashim Amla,South Africa,Right-hand bat,Right-arm medium
Hashmatullah Sahidi,Afghanistan,Left-hand bat,Off-break
Hasibul Hossain,Bangladesh,Right-hand bat,Right-arm fast-medium
Hasti Gul,Afghanistan,Right-hand bat,Right-arm medium
Headley Keith,South Africa,Left-hand bat,Slow left-arm
Heath Davis,New Zealand,Right-hand bat,Right-arm fast
Heath Streak,Zimbabwe,Right-hand bat,Right-arm fast-medium
Hedley Howarth,New Zealand,Left-hand bat,Slow left-arm
Hedley Verity,England,Right-hand bat,Slow left-arm
Heino Kuhn,South Africa,Right-hand bat,
Hemang Badani,India,Left-hand bat,Slow left-arm
Hemant Kanitkar,India,Right-hand bat,
Hemantha Boteju,Sri Lanka,Right-hand bat,Right-arm medium
Hemantha Wickramaratne,Sri Lanka,Left-hand bat,Slow left-arm
Hemu Adhikari,India,Right-hand bat,Leg-break
Hendrik-Jan Mol,Netherlands,Left-hand bat,Left-arm medium
Hendy Bryan,Barbados,Right-hand bat,Right-arm fast-medium
Henry Charlwood,England,Right-hand bat,Underarm
Henry Davids,South Africa,Right-hand bat,Right-arm medium-fast
Henry Foley,New Zealand,Left-hand bat,
Henry Jupp,England,Right-hand bat,Right-arm fast roundarm
Henry Olonga,Zambia,Right-hand bat,Right-arm fast
Henry Osinde,Uganda,Right-hand bat,Right-arm medium-fast
Henry Scott,Australia,Right-hand bat,Right-arm medium-fast
Henry Taberer,South Africa,Right-hand bat,Right-arm fast
Henry Williams,South Africa,Right-hand bat,Right-arm fast-medium
Herb McGirr,New Zealand,Right-hand bat,Right-arm medium
Herbert Chang,Jamaica,Left-hand bat,Right-arm medium
Herbert Sutcliffe,England,Right-hand bat,Right-arm medium
Herbie Collins,Australia,Right-hand bat,Slow left-arm
Herbie Taylor,South Africa,Right-hand bat,Right-arm
Herby Wade,South Africa,Right-hand bat,
Herman Griffith,Trinidad and Tobago,Right-hand bat,Right-arm fast
Herschelle Gibbs,South Africa,Right-hand bat,Leg-break
Hines Johnson,Jamaica,Right-hand bat,Right-arm fast
Hiral Patel,India,Right-hand bat,Slow left-arm
Hiralal Gaekwad,India,Left-hand bat,"Left-arm medium, Slow left-arm"
Hiren Varaiya,India,Right-hand bat,Slow left-arm
Hitesh Modi,Kenya,Left-hand bat,Off-break
Hopper Levett,England,Right-hand bat,
Hopper Read,England,Right-hand bat,Right-arm fast
Horace Chapman,South Africa,Right-hand bat,Leg-break googly
Howard Francis,England,Right-hand bat,
Howard Johnson,Jamaica,Right-hand bat,Right-arm medium-fast
Hrishikesh Kanitkar,India,Left-hand bat,Off-break
Hubert Doggart,England,Right-hand bat,Off-break
Hugh Bromley-Davenport,England,Right-hand bat,Left-arm fast
Hugh Massie,Australia,Right-hand bat,
Hugh Morris,Wales,Left-hand bat,Right-arm medium
Hugh Tayfield,South Africa,Right-hand bat,Off-break
Hugh Trumble,Australia,Right-hand bat,"Right-arm medium, Off-break"
Humayun Farhat,Pakistan,Right-hand bat,Right-arm medium
Hussain Butt,Pakistan,Right-hand bat,Right-arm fast-medium
Hylton Ackerman,South Africa,Right-hand bat,Right-arm medium
Hylton Philipson,England,Right-hand bat,
Iain Butchart,Zimbabwe,Right-hand bat,Right-arm medium
Iain O'Brien,New Zealand,Right-hand bat,Right-arm medium
Iain Philip,Scotland,Right-hand bat,Slow left-arm
Iain Wardlaw,England,Right-hand bat,Right-arm medium-fast
Ian Allen,St Vincent and the Grenadines,Right-hand bat,Right-arm fast-medium
Ian Austin,England,Left-hand bat,Right-arm medium
Ian Bell,England,Right-hand bat,Right-arm medium
Ian Billcliff,Canada,Right-hand bat,Right-arm medium
Ian Bishop,Trinidad and Tobago,Right-hand bat,Right-arm fast
Ian Blackwell,England,Left-hand bat,Slow left-arm
Ian Botham,England,Right-hand bat,Right-arm fast-medium
Ian Bradshaw,Barbados,Left-hand bat,Left-arm fast-medium
Ian Butler,New Zealand,Right-hand bat,Right-arm fast-medium
Ian Callen,Australia,Left-hand bat,Right-arm fast-medium
Ian Chappell,Australia,Right-hand bat,Leg-break
Ian Colquhoun,New Zealand,Right-hand bat,
Ian Craig,Australia,Right-hand bat,Right-arm slow
Ian Cromb,New Zealand,Right-hand bat,Right-arm fast-medium
Ian Davis,Australia,Right-hand bat,
Ian Gould,England,Left-hand bat,
Ian Greig,South Africa,Right-hand bat,Right-arm medium
Ian Harvey,Australia,Right-hand bat,Right-arm medium
Ian Healy,Australia,Right-hand bat,
Ian Johnson,Australia,Right-hand bat,Off-break
Ian Leggat,New Zealand,Right-hand bat,Right-arm medium
Ian Meckiff,Australia,Right-hand bat,Left-arm fast
Ian Nicolson,Zimbabwe,Right-hand bat,Right-arm fast-medium
Ian Peebles,Scotland,Right-hand bat,Leg-break googly
Ian Redpath,Australia,Right-hand bat,Right-arm medium
Ian Salisbury,England,Right-hand bat,Leg-break googly
Ian Sinclair,New Zealand,Left-hand bat,Off-break
Ian Smith,New Zealand,Right-hand bat,Right-arm
Ian Stanger,Scotland,Right-hand bat,Right-arm medium
Ian Thomson,England,Right-hand bat,Right-arm medium
Ian Ward,England,Left-hand bat,Right-arm medium
Iftikhar Ali Khan Pataudi,India,Right-hand bat,
Iftikhar Anjum,Pakistan,Right-hand bat,Right-arm medium
Ijaz Ahmed,Pakistan,Right-hand bat,Left-arm medium
Ijaz Butt,India,Right-hand bat,
Ijaz Faqih,Pakistan,Right-hand bat,Off-break
Ilyas Gul,Pakistan,Right-hand bat,Off-break
Imraan Khan,South Africa,Left-hand bat,Off-break
Imran Abbas,Pakistan,Right-hand bat,Off-break
Imran Farhat,Pakistan,Left-hand bat,Leg-break
Imran Khan,Pakistan,Right-hand bat,Right-arm fast
Imran Nazir,Pakistan,Right-hand bat,Leg-break
Imran Tahir,Pakistan,Right-hand bat,Leg-break googly
Imrul Kayes,Bangladesh,Left-hand bat,
Imtiaz Abbasi,Pakistan,Right-hand bat,
Imtiaz Ahmed,India,Right-hand bat,Off-break
Imtiaz Ali,Trinidad and Tobago,Right-hand bat,Leg-break googly
Indika Batuwitarachchi,Sri Lanka,Right-hand bat,Right-arm
Indika de Saram,Sri Lanka,Right-hand bat,Off-break
Indika Gallage,Sri Lanka,Right-hand bat,Right-arm fast-medium
Inshan Ali,Trinidad and Tobago,Left-hand bat,Chinaman
Intikhab Alam,India,Right-hand bat,Leg-break googly
Inzamam-ul-Haq,Pakistan,Right-hand bat,Slow left-arm
Iqbal Qasim,Pakistan,Left-hand bat,Slow left-arm
Iqbal Siddiqui,India,Right-hand bat,Right-arm medium-fast
Iqbal Sikander,Pakistan,Right-hand bat,Leg-break googly
Irfan Ahmed,Pakistan,Right-hand bat,Right-arm medium-fast
Irfan Bhatti,Pakistan,Right-hand bat,Right-arm fast-medium
Irfan Fazil,Pakistan,Right-hand bat,Right-arm fast-medium
Irfan Karim,England,Left-hand bat,Off-break
Irfan Pathan,India,Left-hand bat,Left-arm medium-fast
Irfan Sajid,Pakistan,Right-hand bat,Leg-break
Irvine Shillingford,Dominica,Right-hand bat,Off-break
Irving Romaine,Bermuda,Left-hand bat,Right-arm medium
Ish Sodhi,India,Right-hand bat,Leg-break googly
Ishant Sharma,India,Right-hand bat,Right-arm fast-medium
Ishara Amerasinghe,Sri Lanka,Right-hand bat,Right-arm fast-medium
Ishwar Maraj,Trinidad and Tobago,Left-hand bat,Off-break
Ishwar Pandey,India,Right-hand bat,Right-arm fast-medium
Israr Ali,India,Left-hand bat,Left-arm fast-medium
Isuru Udana,Sri Lanka,Right-hand bat,Left-arm medium-fast
Ivan Barrow,Jamaica,Right-hand bat,
Ivan Madray,Guyana,Right-hand bat,Leg-break
Ivo Bligh,England,Right-hand bat,
Ivor Mendonca,Guyana,Right-hand bat,
Izak Buys,South Africa,Left-hand bat,Left-arm fast-medium
Izatullah Dawlatzai,Afghanistan,Right-hand bat,Right-arm fast-medium
Jack Alabaster,New Zealand,Right-hand bat,Leg-break googly
Jack Badcock,Australia,Right-hand bat,
Jack Barrett,Australia,Left-hand bat,Right-arm medium
Jack Bird,Australia,Right-hand bat,Right-arm fast-medium
Jack Birkenshaw,England,Left-hand bat,Off-break
Jack Blackham,Australia,Right-hand bat,
Jack Board,England,Right-hand bat,
Jack Cheetham,South Africa,Right-hand bat,Leg-break
Jack Cowie,New Zealand,Right-hand bat,Right-arm fast-medium
Jack Crapp,England,Left-hand bat,Slow left-arm
Jack Crawford,England,Right-hand bat,"Right-arm medium, Off-break"
Jack D'Arcy,New Zealand,Right-hand bat,
Jack Dunning,New Zealand,Right-hand bat,"Right-arm medium, Off-break"
Jack Durston,England,Right-hand bat,"Right-arm fast, Right-arm medium"
Jack Edwards,Australia,Right-hand bat,Leg-break
Jack Fingleton,Australia,Right-hand bat,
Jack Flavell,England,Left-hand bat,Right-arm fast-medium
Jack Gregory,Australia,Left-hand bat,Right-arm fast
Jack Hearne,England,Right-hand bat,"Right-arm medium, Off-break"
Jack Heron,Zimbabwe,Right-hand bat,
Jack Hill,Australia,Right-hand bat,Leg-break googly
Jack Hobbs,England,Right-hand bat,Right-arm medium
Jack Iddon,England,Right-hand bat,Slow left-arm
Jack Ikin,England,Left-hand bat,Leg-break googly
Jack Iverson,Australia,Right-hand bat,Leg-break googly
Jack Kerr,New Zealand,Right-hand bat,Right-arm medium
Jack MacBryan,England,Right-hand bat,
Jack Martin,England,Right-hand bat,Right-arm fast
Jack Mason,England,Right-hand bat,Right-arm fast-medium
Jack Mills,New Zealand,Left-hand bat,
Jack Moroney,Australia,Right-hand bat,
Jack Nel,South Africa,Right-hand bat,
Jack Newman,New Zealand,Right-hand bat,Left-arm medium
Jack Nitschke,Australia,Left-hand bat,
Jack Noreiga,Trinidad and Tobago,Right-hand bat,Off-break
Jack O'Connor,Australia,Left-hand bat,Right-arm medium
Jack Plimsoll,South Africa,Right-hand bat,Left-arm medium-fast
Jack Richards,England,Right-hand bat,Right-arm medium
Jack Robertson,South Africa,Right-hand bat,"Right-arm medium, Off-break"
Jack Russell,England,Right-hand bat,Right-arm slow-medium
Jack Rutherford,Australia,Right-hand bat,Leg-break
Jack Ryder,Australia,Right-hand bat,Right-arm fast-medium
Jack Saunders,Australia,Left-hand bat,"Left-arm medium, Slow left-arm"
Jack Sharp,England,Right-hand bat,Left-arm fast-medium
Jack Siedle,South Africa,Right-hand bat,Right-arm
Jack White,England,Right-hand bat,Slow left-arm
Jack Wilson,Australia,Right-hand bat,Slow left-arm
Jack Worrall,Australia,Right-hand bat,Right-arm slow roundarm
Jack Young,England,Right-hand bat,Slow left-arm
Jackie Botten,South Africa,Right-hand bat,Right-arm fast-medium
Jackie du Preez,Zimbabwe,Right-hand bat,Leg-break googly
Jackie Grant,Trinidad and Tobago,Right-hand bat,Right-arm fast-medium
Jackie Hendriks,Jamaica,Right-hand bat,"Off-break, Leg-break"
Jackie McGlew,South Africa,Right-hand bat,Leg-break googly
Jacob Martin,India,Right-hand bat,Leg-break googly
Jacob Oram,New Zealand,Left-hand bat,Right-arm medium
Jacob-Jan Esmeijer,Netherlands,Right-hand bat,Slow left-arm
Jacobi Robinson,Bermuda,Right-hand bat,Right-arm fast-medium
Jacobus Duminy,South Africa,Left-hand bat,Slow left-arm
Jacques du Toit,South Africa,Right-hand bat,Right-arm medium-fast
Jacques Kallis,South Africa,Right-hand bat,Right-arm fast-medium
Jacques Rudolph,South Africa,Left-hand bat,Leg-break googly
Jadavji Jesani,India,Right-hand bat,Off-break
Jade Dernbach,South Africa,Right-hand bat,Right-arm fast-medium
Jahangir Alam snr,Bangladesh,Right-hand bat,
Jahangir Alam Talukdar,Pakistan,Right-hand bat,Left-arm medium
Jahangir Khan,India,Right-hand bat,Right-arm fast-medium
Jahangir Shah,Pakistan,Right-hand bat,Right-arm fast-medium
Jahurul Islam,Bangladesh,Right-hand bat,Off-break
Jake Haberfield,Australia,Right-hand bat,Right-arm fast-medium
Jalaluddin,Pakistan,Right-hand bat,Right-arm fast-medium
Jamaluddin Ahmed,Bangladesh,Right-hand bat,Off-break
James Adams,England,Left-hand bat,Left-arm medium
James Anderson,England,Left-hand bat,Right-arm fast-medium
James Brinkley,Scotland,Right-hand bat,Right-arm fast-medium
James Celestine,Grenada,Right-hand bat,
James Cranston,England,Left-hand bat,Left-arm
James Faulkner,Australia,Right-hand bat,Left-arm medium-fast
James Foster,England,Right-hand bat,
James Franklin,New Zealand,Left-hand bat,Left-arm fast-medium
James Hall,England,Right-hand bat,Off-break
James Hildreth,England,Right-hand bat,Right-arm fast-medium
James Hopes,Australia,Right-hand bat,Right-arm medium
James Kelly,Australia,Right-hand bat,
James Kirtley,England,Right-hand bat,Right-arm fast-medium
James Langridge,England,Left-hand bat,Slow left-arm
James Lillywhite,England,Left-hand bat,Left-arm slow-medium
James Marshall,New Zealand,Right-hand bat,Right-arm medium
James McMillan,New Zealand,Right-hand bat,Right-arm fast-medium
James Muirhead,Australia,Right-hand bat,Leg-break
James Neblett,Barbados,Right-hand bat,Leg-break
James Ngoche,Kenya,Right-hand bat,Off-break
James Ormond,England,Right-hand bat,"Right-arm medium-fast, Off-break"
James Parks,England,Right-hand bat,Right-arm slow-medium
James Pattinson,Australia,Left-hand bat,Right-arm fast-medium
James Shannon,Ireland,Right-hand bat,Off-break
James Southerton,England,Right-hand bat,Right-arm slow roundarm
James Taylor,England,Right-hand bat,Leg-break
James Tredwell,England,Left-hand bat,Off-break
James Vince,England,Right-hand bat,Right-arm medium
James Whitaker,England,Right-hand bat,Off-break
Jamie Atkinson,Hong Kong,Right-hand bat,
Jamie Dalrymple,Kenya,Right-hand bat,Off-break
Jamie How,New Zealand,Right-hand bat,Off-break
Jamie Siddons,Australia,Right-hand bat,Leg-break googly
Jan Stander,South Africa,Right-hand bat,Right-arm medium-fast
Jan-Berry Burger,South Africa,Right-hand bat,Leg-break
Janak Gamage,Sri Lanka,Right-hand bat,Right-arm fast-medium
Janardan Navle,India,Right-hand bat,
Janeiro Tucker,Bermuda,Right-hand bat,Right-arm medium
Jason Gallian,Australia,Right-hand bat,Right-arm medium
Jason Gillespie,Australia,Right-hand bat,Right-arm fast
Jason Holder,Barbados,Right-hand bat,Right-arm medium-fast
Jason Krejza,Australia,Right-hand bat,Off-break
Jason Mohammed,Trinidad and Tobago,Right-hand bat,Off-break
Jason Patraj,Canada,Right-hand bat,Off-break
Jasu Patel,India,Right-hand bat,Off-break
Jaswick Taylor,Trinidad and Tobago,Right-hand bat,Right-arm fast-medium
Jatin Paranjpe,India,Left-hand bat,Slow left-arm
Javagal Srinath,India,Right-hand bat,Right-arm fast-medium
Javed Ahmadi,Afghanistan,Right-hand bat,Off-break
Javed Akhtar,India,Right-hand bat,Off-break
Javed Burki,India,Right-hand bat,Right-arm medium
Javed Miandad,Pakistan,Right-hand bat,Leg-break googly
Javed Omar,Bangladesh,Right-hand bat,Leg-break
Javed Qadeer,Pakistan,Right-hand bat,
Jawad Dawood,Pakistan,Left-hand bat,Off-break
Jawahir Shah,Kenya,Right-hand bat,
Jayananda Warnaweera,Sri Lanka,Left-hand bat,"Right-arm medium, Off-break"
Jayantha Amerasinghe,Sri Lanka,Right-hand bat,Slow left-arm
Jayantha Silva,Sri Lanka,Right-hand bat,Slow left-arm
Jayasinhrao Ghorpade,India,Right-hand bat,Leg-break googly
Jaydev Unadkat,India,Right-hand bat,Left-arm fast-medium
Jeetan Patel,New Zealand,Right-hand bat,Off-break
Jeevan Mendis,Sri Lanka,Left-hand bat,Leg-break
Jeevantha Kulatunga,Sri Lanka,Right-hand bat,Right-arm medium
Jeff Crowe,New Zealand,Right-hand bat,Right-arm slow-medium
Jeff Dujon,Jamaica,Right-hand bat,Right-arm medium
Jeff Hammond,Australia,Right-hand bat,Right-arm fast-medium
Jeff Jones,Wales,Right-hand bat,Left-arm fast
Jeff Moss,Australia,Left-hand bat,
Jeff Thomson,Australia,Right-hand bat,Right-arm fast
Jeff Wilson,New Zealand,Right-hand bat,Right-arm fast-medium
Jeffrey Stollmeyer,Trinidad and Tobago,Right-hand bat,Leg-break googly
Jehan Mubarak,United States of America,Left-hand bat,Off-break
Jekon Edness,Bermuda,Right-hand bat,
